"","genus","asensio","now"
"1","Afranthidium",1,0
"2","Amegilla",4,1
"3","Ammobates",2,0
"4","Ammobatoides",1,0
"5","Andrena",54,14
"6","Anthidiellum",2,1
"7","Anthidium",7,2
"8","Anthocopa",3,0
"9","Anthophora",19,10
"10","Biastes",1,0
"11","Bombus",6,7
"12","Camptopaeum",1,0
"13","Ceratina",7,4
"14","Chalicodoma",0,2
"15","Chelostoma",2,0
"16","Coelioxys",8,2
"17","Colletes",11,4
"18","Dasypoda",4,3
"19","Dioxys",2,0
"20","Dufourea",1,0
"21","Epeolus",1,0
"22","Eucera",9,6
"23","Halictus",14,10
"24","Heriades",2,1
"25","Hoplitis",5,3
"26","Hylaeus",3,8
"27","Icteranthidium",1,0
"28","Lasioglossum",33,21
"29","Lithurgus",4,2
"30","Megachile",15,3
"31","Melecta",3,2
"32","Melitta",2,0
"33","Melitturga",1,0
"34","Nomada",20,3
"35","Nomia",1,0
"36","Nomioides",2,1
"37","Osmia",15,8
"38","Panurginus",2,0
"39","Panurgus",4,4
"40","Prosopis",7,0
"41","Pseudapis",0,1
"42","Pseudoanthidium",2,1
"43","Sphecodes",10,5
"44","Stelis",4,2
"45","Systropha",2,0
"46","Tetralonia",5,0
"47","Thyreus",3,0
"48","Trachusa",1,0
"49","Xylocopa",4,3
